"Source:","/home/helmut/Ablage/sonstiges/Luftdaten.info Feinstaubsensor, Lärm u.a/Lärm/DNMS/PCBs/DNMS-T4.0/DNMS-T4.0-V1.7/DNMS.kicad_sch"
"Date:","So 16 Jan 2022 19:10:38 CET"
"Tool:","Eeschema 6.0.1-79c1e3a40b~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","16"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C3, ","3","100nF","C-Device-DNMS-rescue-DNMS-rescue-DNMS-rescue","C_THT_100nF:C_THT_100nF_L9.0mm_W2.0mm_P5.00mm_P7.50mm","",""
"J1, ","1","Conn_01x02","Conn_01x02-Connector_Generic-DNMS-rescue-DNMS-rescue-DNMS-rescue","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","",""
"J2, ","1","Conn_02x03_Odd_Even","Conn_02x03_Odd_Even-Connector_Generic-DNMS-rescue-DNMS-rescue-DNMS-rescue","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","",""
"J3, ","1","Conn_01x04","Conn_01x04-Connector_Generic-DNMS-rescue-DNMS-rescue-DNMS-rescue","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","",""
"J4, ","1","Conn_01x01","Conn_01x01-Connector_Generic-DNMS-rescue-DNMS-rescue-DNMS-rescue","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","",""
"J5, ","1","RJ12","RJ12-Connector-DNMS-rescue-DNMS-rescue-DNMS-rescue","54601906WPLF:54601906WPLF","",""
"J6, ","1","RJ12","RJ12-Connector-DNMS-rescue-DNMS-rescue-DNMS-rescue","E5566-Q0LK22-L:E5566Q0LK22L","",""
"J7, J8, ","2","SM06B-SRSS-TB(LF)(SN)","SM06B-SRSS-TB(LF)(SN)","SM06B-SRSS-TB_LF_SN:JST_SM06B-SRSS-TB(LF)(SN)","",""
"R1, R2, ","2","4k7","R-Device-DNMS-rescue-DNMS-rescue-DNMS-rescue","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"U1, ","1","Teensy4.0","Teensy4.0","Teensy:Teensy40","",""
"U2, ","1","P82B715PN,112","P82B715PN,112","P82B715PN_112:DIP254P762X420-8","",""
"U3, ","1","P82B715DR","P82B715DR","P82B715:SOIC8","",""
