ID,Bezeichner,Gehäuse,Stückzahl,Bezeichnung,Anbieter und Referenz
1,J1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
2,"H1,H2",MountingHole_2.1mm,2,MountingHole,
3,"C1,C2",C_0603_1608Metric,2,1uF,
4,"C3,C4,C6,C5",C_0603_1608Metric,4,100nF,
5,C7,C_0603_1608Metric,1,47pF,
6,R1,R_0603_1608Metric,1,100K,
7,U1,SOT-23-5,1,LP5907MFX-3.3,
8,U2,ADAU7002,1,ADAU7002ACBZ-R7,
9,SP1,Solder_Pad_1.0x2.0mm,1,VDD,
10,SP5,Solder_Pad_1.0x2.0mm,1,GND,
11,"U5,U4,U3",SOT95P280X145-5N,3,SN74LV1T34DBVR,
12,SP3,Solder_Pad_1.0x2.0mm,1,SEL,
13,SP2,Solder_Pad_1.0x2.0mm,1,CLOCK,
14,SP4,Solder_Pad_1.0x2.0mm,1,DATA,
15,"JP1,JP2",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,2,SolderJumper_2_Open,
